city,latitude,longitude
beijing,40.190632,116.412144
brasilia,-10.3333333,-53.2
new york,40.7127281,-74.0060152
atlanta,33.7544657,-84.3898151
austin,30.2711286,-97.7436995
tokyo,35.6768601,139.7638947
berlin,52.510885,13.3989367
minneapolis,44.9772995,-93.2654692
chicago,41.8755616,-87.6244212
antwerp,51.2211097,4.3997081
seattle,47.6038321,-122.330062
brussels,50.8465573,4.351697
singapore,1.357107,103.8194992
wilmington,39.7459468,-75.546589
london,51.4893335,-0.1440551
bristol,51.4538022,-2.5972985
hamburg,53.550341,10.000654
hokkaido,43.4519831,142.8197834
charlotte,35.2272086,-80.8430827
bend,44.0581728,-121.3153096
orlando,28.5421109,-81.3790304
